route-idx,coordinates
0,"[(115, 167), (115, 166), (115, 165), (115, 164), (115, 163), (115, 162), (115, 161), (115, 160), (115, 159), (115, 158), (115, 157), (115, 156), (115, 155), (115, 154), (115, 153), (115, 152), (115, 151), (115, 150), (115, 149), (115, 148), (114, 148), (114, 147), (114, 146), (114, 145), (114, 144), (115, 144), (115, 143), (115, 142), (115, 141), (115, 140), (114, 140), (114, 139), (114, 138), (114, 137), (114, 136), (114, 135), (115, 135), (115, 134), (115, 133), (115, 132), (114, 132), (113, 132), (113, 131), (113, 130), (112, 130), (112, 129), (112, 128), (111, 128), (111, 127), (110, 127), (110, 126), (109, 126), (109, 125), (108, 125), (108, 124), (108, 123), (107, 123), (107, 122), (107, 121), (106, 121), (106, 120), (106, 119), (105, 119), (105, 118), (104, 118), (104, 117), (103, 117), (103, 116), (103, 115), (102, 115), (102, 114), (101, 114), (101, 113), (100, 113), (100, 112), (99, 112), (99, 111), (99, 110), (98, 110), (98, 109), (97, 109), (97, 108), (97, 107), (96, 107), (96, 106), (96, 105), (95, 105), (95, 104), (95, 103), (94, 103), (94, 102), (94, 101), (94, 100), (93, 100), (93, 99), (93, 98), (93, 97), (93, 96), (93, 95), (93, 94), (93, 93), (93, 92), (92, 92), (92, 91), (92, 90), (91, 90), (90, 90), (89, 90), (89, 89), (89, 88), (90, 88), (90, 87), (90, 86), (90, 85), (91, 85), (91, 84), (91, 83), (91, 82), (91, 81), (91, 80), (90, 80), (90, 79), (89, 79), (89, 78), (88, 78), (88, 77), (88, 76), (87, 76), (87, 75), (86, 75), (86, 74), (86, 73), (85, 73), (85, 72), (85, 71), (86, 71), (86, 70), (86, 69), (86, 68), (86, 67), (86, 66), (85, 66), (85, 65), (85, 64), (84, 64), (84, 63), (83, 63), (83, 62), (82, 62), (82, 61), (81, 61), (81, 60), (81, 59), (81, 58), (80, 58), (80, 57), (79, 57), (79, 56), (78, 56), (78, 55), (78, 54), (77, 54), (77, 53), (77, 52), (76, 52), (76, 51), (76, 50), (75, 50), (75, 49), (74, 49), (74, 48), (74, 47), (73, 47), (73, 46), (72, 46), (72, 45), (71, 45), (71, 44), (71, 43), (70, 43), (70, 42), (70, 41), (69, 41), (69, 40), (69, 39), (68, 39), (68, 38), (68, 37), (67, 37), (67, 36), (67, 35), (66, 35), (66, 34), (66, 33), (65, 33), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (63, 29), (63, 28), (63, 27), (63, 26), (63, 25), (64, 25), (64, 25)]"
1,"[(64, 25), (65, 25), (65, 26), (66, 26), (67, 26), (67, 27), (68, 27), (68, 28), (69, 28), (69, 29), (70, 29), (71, 29), (71, 30), (72, 30), (73, 30), (73, 31), (74, 31), (75, 31), (76, 31), (76, 32), (76, 33), (76, 34), (76, 35), (77, 35), (78, 35), (79, 35), (80, 35), (80, 35)]"
2,"[(89, 16), (88, 16), (88, 17), (88, 18), (88, 19), (87, 19), (87, 20), (87, 21), (87, 22), (87, 23), (87, 24), (87, 25), (88, 25), (88, 26), (88, 27), (88, 28), (87, 28), (87, 29), (87, 30), (87, 31), (86, 31), (86, 32), (85, 32), (85, 33), (84, 33), (84, 34), (83, 34), (83, 35), (82, 35), (81, 35), (80, 35), (80, 35)]"
3,"[(104, 32), (103, 32), (103, 33), (102, 33), (101, 33), (100, 33), (100, 32), (99, 32), (98, 32), (98, 31), (97, 31), (97, 30), (96, 30), (96, 29), (96, 28), (95, 28), (95, 27), (95, 26), (95, 25), (94, 25), (94, 24), (94, 23), (93, 23), (93, 22), (93, 21), (93, 20), (92, 20), (92, 19), (91, 19), (91, 18), (90, 18), (90, 17), (90, 16), (89, 16), (89, 16)]"
4,"[(104, 32), (105, 32), (106, 32), (106, 33), (106, 34), (106, 35), (106, 36), (106, 37), (106, 38), (106, 39), (106, 40), (106, 41), (106, 42), (107, 42), (107, 43), (107, 44), (108, 44), (108, 45), (108, 46), (108, 47), (108, 48), (109, 48), (109, 49), (109, 50), (110, 50), (110, 51), (110, 52), (111, 52), (111, 53), (111, 54), (111, 55), (111, 56), (111, 57), (111, 58), (111, 59), (111, 60), (111, 61), (111, 62), (111, 63), (111, 64), (111, 65), (110, 65), (110, 66), (110, 67), (109, 67), (109, 68), (109, 69), (109, 70), (110, 70), (110, 71), (110, 72), (111, 72), (111, 73), (112, 73), (112, 74), (112, 75), (112, 76), (112, 77), (112, 78), (112, 79), (112, 80), (112, 81), (113, 81), (113, 82), (113, 83), (114, 83), (114, 84), (115, 84), (115, 85), (115, 86), (116, 86), (116, 87), (116, 88), (117, 88), (117, 89), (118, 89), (119, 89), (120, 89), (120, 88), (121, 88), (122, 88), (123, 88), (124, 88), (125, 88), (125, 89), (125, 90), (126, 90), (126, 91), (126, 92), (126, 93), (126, 94), (126, 95), (125, 95), (125, 96), (125, 97), (125, 98), (125, 99), (125, 100), (125, 101), (125, 102), (125, 103), (125, 104), (125, 105), (125, 106), (124, 106), (124, 107), (124, 108), (124, 109), (124, 110), (124, 111), (124, 111)]"
5,"[(140, 184), (140, 183), (140, 182), (140, 181), (140, 180), (140, 179), (140, 178), (140, 177), (140, 176), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (133, 138), (133, 137), (133, 136), (133, 135), (133, 134), (133, 133), (132, 133), (132, 132), (131, 132), (131, 131), (131, 130), (130, 130), (130, 129), (130, 128), (130, 127), (129, 127), (129, 126), (128, 126), (128, 125), (128, 124), (129, 124), (129, 123), (129, 122), (129, 121), (129, 120), (129, 119), (128, 119), (128, 118), (128, 117), (127, 117), (127, 116), (126, 116), (126, 115), (125, 115), (125, 114), (125, 113), (124, 113), (124, 112), (124, 111), (124, 111)]"
6,"[(17, 67), (18, 67), (18, 68), (19, 68), (20, 68), (21, 68), (21, 69), (22, 69), (22, 70), (23, 70), (23, 71), (24, 71), (24, 72), (25, 72), (25, 73), (25, 74), (26, 74), (26, 75), (27, 75), (27, 76), (27, 77), (27, 78), (28, 78), (28, 79), (28, 80), (28, 81), (28, 82), (29, 82), (29, 83), (29, 84), (30, 84), (30, 85), (30, 86), (30, 87), (29, 87), (29, 88), (29, 89), (29, 90), (30, 90), (31, 90), (31, 89), (32, 89), (33, 89), (34, 89), (34, 90), (35, 90), (35, 91), (36, 91), (36, 92), (36, 93), (37, 93), (37, 94), (37, 95), (37, 96), (37, 97), (37, 98), (37, 99), (37, 100), (37, 101), (38, 101), (38, 102), (38, 103), (39, 103), (39, 104), (39, 105), (39, 106), (38, 106), (38, 107), (38, 108), (38, 109), (38, 110), (39, 110), (39, 111), (40, 111), (40, 112), (41, 112), (41, 113), (41, 114), (42, 114), (42, 115), (42, 116), (42, 117), (43, 117), (43, 118), (43, 119), (44, 119), (44, 120), (44, 121), (45, 121), (46, 121), (46, 122), (47, 122), (47, 123), (48, 123), (49, 123), (50, 123), (50, 124), (51, 124), (52, 124), (52, 125), (52, 126), (52, 127), (52, 128), (52, 129), (52, 130), (52, 131), (53, 131), (53, 132), (53, 133), (54, 133), (54, 134), (54, 135), (54, 136), (54, 137), (55, 137), (55, 138), (56, 138), (56, 139), (57, 139), (58, 139), (58, 140), (59, 140), (60, 140), (60, 141), (61, 141), (61, 142), (62, 142), (62, 143), (63, 143), (64, 143), (64, 144), (65, 144), (65, 144)]"
7,"[(69, 98), (69, 99), (69, 100), (69, 101), (69, 102), (69, 103), (69, 104), (70, 104), (70, 105), (71, 105), (71, 106), (72, 106), (72, 107), (72, 108), (73, 108), (73, 109), (73, 110), (74, 110), (74, 111), (75, 111), (75, 112), (76, 112), (76, 113), (76, 114), (77, 114), (78, 114), (78, 115), (78, 116), (77, 116), (77, 117), (77, 118), (76, 118), (76, 119), (75, 119), (75, 120), (75, 121), (74, 121), (74, 122), (73, 122), (73, 123), (72, 123), (71, 123), (71, 124), (71, 125), (70, 125), (70, 126), (70, 127), (70, 128), (70, 129), (70, 130), (70, 131), (70, 132), (70, 133), (70, 134), (70, 135), (70, 136), (70, 137), (70, 138), (70, 139), (69, 139), (69, 140), (69, 141), (69, 142), (68, 142), (68, 143), (68, 144), (67, 144), (66, 144), (65, 144), (65, 144)]"
8,"[(183, 87), (182, 87), (181, 87), (180, 87), (180, 86), (179, 86), (178, 86), (177, 86), (176, 86), (176, 87), (175, 87), (174, 87), (173, 87), (172, 87), (172, 88), (171, 88), (170, 88), (169, 88), (168, 88), (167, 88), (166, 88), (165, 88), (165, 87), (164, 87), (163, 87), (162, 87), (161, 87), (161, 88), (160, 88), (160, 89), (160, 90), (160, 91), (161, 91), (161, 92), (161, 93), (161, 94), (160, 94), (160, 95), (159, 95), (159, 96), (158, 96), (158, 97), (158, 98), (158, 99), (158, 100), (158, 101), (158, 102), (159, 102), (160, 102), (161, 102), (162, 102), (162, 103), (163, 103), (163, 104), (163, 105), (164, 105), (164, 106), (165, 106), (166, 106), (166, 107), (166, 108), (167, 108), (167, 109), (167, 110), (167, 111), (167, 112), (167, 113), (166, 113), (166, 114), (166, 115), (166, 116), (166, 117), (166, 118), (165, 118), (165, 119), (164, 119), (164, 120), (163, 120), (163, 121), (162, 121), (161, 121), (160, 121), (159, 121), (159, 122), (158, 122), (157, 122), (157, 123), (156, 123), (155, 123), (155, 124), (154, 124), (154, 125), (153, 125), (152, 125), (151, 125), (150, 125), (149, 125), (148, 125), (148, 124), (147, 124), (147, 123), (146, 123), (145, 123), (144, 123), (143, 123), (143, 124), (142, 124), (142, 125), (142, 126), (141, 126), (141, 127), (141, 128), (140, 128), (140, 129), (140, 130), (139, 130), (139, 131), (138, 131), (138, 132), (137, 132), (136, 132), (136, 133), (135, 133), (135, 134), (134, 134), (133, 134), (133, 135), (133, 136), (133, 137), (133, 138), (134, 138), (134, 139), (134, 140), (133, 140), (133, 141), (133, 142), (132, 142), (132, 143), (132, 144), (132, 145), (132, 146), (132, 147), (132, 148), (133, 148), (133, 149), (133, 150), (133, 151), (133, 152), (133, 153), (133, 154), (133, 155), (133, 156), (134, 156), (135, 156), (135, 157), (135, 158), (135, 159), (135, 160), (134, 160), (134, 161), (134, 162), (135, 162), (135, 163), (135, 164), (136, 164), (136, 165), (136, 166), (137, 166), (138, 166), (138, 167), (139, 167), (139, 168), (139, 169), (140, 169), (140, 170), (140, 171), (140, 172), (140, 173), (140, 174), (140, 175), (140, 176), (140, 177), (140, 178), (140, 179), (140, 180), (140, 181), (140, 182), (140, 183), (140, 184), (140, 184)]"
9,"[(64, 25), (63, 25), (63, 26), (63, 27), (63, 28), (63, 29), (64, 29), (64, 30), (64, 31), (64, 32), (64, 33), (65, 33), (66, 33), (66, 34), (66, 35), (67, 35), (67, 36), (67, 37), (68, 37), (68, 38), (68, 39), (69, 39), (69, 40), (69, 41), (70, 41), (70, 42), (70, 43), (71, 43), (71, 44), (71, 45), (72, 45), (72, 46), (73, 46), (73, 47), (74, 47), (74, 48), (74, 49), (75, 49), (75, 50), (76, 50), (76, 51), (76, 52), (77, 52), (77, 53), (77, 54), (78, 54), (78, 55), (78, 56), (79, 56), (79, 57), (80, 57), (80, 58), (81, 58), (81, 59), (81, 60), (81, 61), (82, 61), (82, 62), (83, 62), (83, 63), (84, 63), (84, 64), (85, 64), (85, 65), (85, 66), (86, 66), (86, 67), (86, 68), (86, 69), (86, 70), (86, 71), (85, 71), (85, 72), (85, 73), (84, 73), (84, 74), (83, 74), (83, 75), (83, 76), (83, 77), (83, 78), (82, 78), (82, 79), (82, 80), (82, 81), (81, 81), (81, 82), (80, 82), (80, 83), (80, 84), (79, 84), (79, 85), (78, 85), (77, 85), (77, 86), (76, 86), (76, 87), (75, 87), (75, 88), (75, 89), (75, 90), (74, 90), (74, 91), (73, 91), (73, 92), (73, 93), (72, 93), (72, 94), (71, 94), (71, 95), (70, 95), (69, 95), (69, 96), (69, 97), (69, 98), (69, 98)]"
